time_elapsed,K30_1p_CO2_ppm
0,667
11.00000006,667
20.99999988,667
31.00000033,667
41.00000015,668
106.0000003,980
116.0000001,990
125.9999999,1007
136.0000004,1032
146.0000002,1049
156,1068
221.0000001,1167
230.9999999,1170
241.0000004,1172
251.0000002,1177
261,1188
272.0000001,1193
336,1273
345.9999998,1274
356.0000002,1275
367.0000003,1280
377.0000001,1287
386.9999999,1295
450.9999998,1386
461.9999999,1384
472.0000003,1384
482.0000001,1388
492,1392
501.9999998,1398
566.9999999,1476
577.0000004,1474
587.0000002,1476
597,1478
606.9999998,1479
617.0000003,1485
682.0000004,1547
692.0000002,1542
702,1546
711.9999998,1547
722.0000003,1553
733.0000004,1557
797.0000002,1611
807.0000001,1611
816.9999999,1610
827.9999999,1610
838.0000004,1612
848.0000002,1613
913.0000003,1649
923.0000001,1650
933,1651
942.9999998,1653
953.0000002,1657
963.0000001,1660
1028,1685
1038,1688
1048,1689
1058,1692
1068,1693
1078,1695
1143,1733
1153,1737
1163,1743
1173,1742
1184,1744
1194,1746
1258,1786
1268,1784
1279,1785
1289,1786
1299,1785
1309,1785
1374,1797
1384,1797
1394,1803
1404,1805
1414,1807
1424,1809
1489,1826
1499,1829
1509,1830
1519,1832
1529,1838
1539,1841
1604,1864
1614,1864
1624,1865
1634,1863
1645,1861
1655,1863
1719,1901
1730,1898
1740,1895
1750,1893
1760,1891
1770,1889
1835,1917
1845,1912
1855,1912
1865,1913
1875,1911
1885,1907
1950,1934
1960,1930
1970,1929
1980,1927
1990,1926
2001,1926
2065,1943
2075,1942
2085,1941
2096,1941
2106,1940
2116,1941
2181,1941
2191,1941
2201,1943
2211,1943
2221,1945
2231,1945
2296,1951
2306,1955
2316,1954
2326,1954
2336,1954
2346,1954
2411,1941
2421,1947
2431,1950
2441,1957
2452,1958
2462,1960
2526,1951
2536,1958
2547,1958
2557,1962
2567,1962
2577,1968
2642,1969
2652,1973
2662,1981
2672,1983
2682,1982
2692,1982
2757,1974
2767,1977
2777,1979
2787,1984
2797,1987
2807,1988
2872,1992
2882,1995
2892,1996
2903,1997
2913,1998
2923,1998
2987,2004
2998,2006
3008,2005
3018,2004
3028,2004
3038,2003
3103,2000
3113,2001
3123,2004
3133,2006
3143,2008
3153,2009
3218,2011
3228,2013
3238,2013
3248,2014
3258,2013
3269,2012
