date_time_GMT,K30_10p_CO2_ppm
3/8/17 21:28,1510
3/8/17 22:33,1500
3/8/17 23:38,1500
3/9/17 0:43,1490
3/9/17 1:49,1480
3/9/17 2:54,1490
3/9/17 3:59,1480
3/9/17 5:05,1480
3/9/17 6:10,1470
3/9/17 7:15,1460
